Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
step,,,turn dur,sum,9.620000000000001,7.48,8.93,7.22,8.34,10.440000000000001,7.66,10.280000000000001,11.02,8.690000000000001,10.92,10.82,9.13
step,,,turn dur,mean,0.06370860927152319,0.06448275862068965,0.06074829931972789,0.0568503937007874,0.06132352941176471,0.059318181818181825,0.06547008547008547,0.0718881118881119,0.05622448979591837,0.06896825396825398,0.06312138728323699,0.056649214659685865,0.06210884353741497
step,,,turn dur,std,0.02765540077549013,0.0172624159519388,0.020003028379426708,0.020767067465427343,0.016944739095263048,0.02569248715293823,0.018170444289622837,0.03730255152982541,0.0189744933311605,0.0184966749478652,0.02792373863685887,0.02186748335605547,0.019417238934295377
step,,,turn dur,max,0.19,0.11,0.12,0.13,0.12,0.14,0.13,0.32,0.13,0.13,0.18,0.17,0.13
step,,,turn angular velocity,sum,,,,,,,,,,,,,
step,,,turn angular velocity,mean,1.2685496085114598,2.2501843385257128,2.095524572868002,1.777171970769293,1.5369640512711227,1.6248968723831902,1.7020408962795237,1.7982322077474393,1.6708198332266326,1.8213977883443389,1.4275702685086675,1.778363376980937,1.7450560045710337
step,,,turn angular velocity,std,0.45354603047057596,1.3280505506056863,1.9325074974373824,0.6873317795051347,0.5461044538673255,2.0178824484208295,0.5270176513491168,0.7081554781145339,1.9165039563109945,0.573471214442572,2.488785972379223,3.2126557060318137,0.5791843117405763
step,,,turn angular velocity,max,3.0021534293905736,13.114746079590207,23.989732647117563,4.297477466034808,4.131347943999458,26.14596234410077,3.328960134184178,3.775822442056413,24.612128333923728,3.9290076450028355,30.975892725182185,25.34707403929428,4.93773630268195
step,,,bend angle reached,sum,,,,,,,,,,,,,
step,,,bend angle reached,mean,1.0015911686091437,1.5647341342412382,1.3308576800047272,1.1055496331771635,1.117698917961355,0.9886292671405306,1.290458941318239,1.4028191731892008,1.0505969783737843,1.5474326092067483,0.8155482345526529,0.8495146884759953,1.2895123884629516
step,,,bend angle reached,std,0.6098658321536355,0.5483652693583613,0.6316684134701147,0.5497482632165742,0.49883046423720284,0.6945625168881712,0.49310475638100126,0.7493538014018084,0.5944646658303655,0.5790290491490293,0.5658029842547802,0.6200198132054078,0.4797447754786185
step,,,bend angle reached,max,3.071859227945286,3.457862142289983,3.4601483306778595,2.9084979810605884,3.05563717021919,3.4789669366069114,2.6429398943242868,3.524513707271165,4.257288171816493,3.4089098541220264,3.2812813937859,3.2526275467753414,3.071877096814587
step,,,bend angle traveled,sum,,,,,,,,,,,,,
step,,,bend angle traveled,mean,1.8362489879336346,3.346420659693559,3.2296898689313833,2.2186010015762068,2.3479857686493433,2.053570136646283,2.4726282950524143,2.9282662869634035,2.1555514515028382,3.1677195400759532,1.5509871764287455,1.7317844013467607,2.8613502004239564
step,,,bend angle traveled,std,0.8972831187120597,1.0746880577112345,1.080490090488245,0.8523641371246684,0.9227410951087623,1.0726863867455874,0.7783292423195403,1.2361107270152405,1.065029745681033,0.8624003687025469,0.8547303923267248,1.0322081440184092,0.8611080431789251
step,,,bend angle traveled,max,5.37923553384006,7.237623509765729,7.155195020763534,5.107760971663326,6.531506781791609,7.33800379049815,5.431475068345479,6.47775010282826,9.015860903926317,6.223557650993753,7.250789051134427,8.250028021715721,7.285200883075228
step,,,bend angular velocity,sum,,,,,,,,,,,,,
